Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
3/9/2015,16365,15807991,24159,26829731,127852,218,24
3/10/2015,13080,15821071,17626,26847357,127886,126,17
3/11/2015,21728,15842799,33446,26880803,127936,386,29
3/12/2015,19246,15862045,26931,26907734,127977,195,22
3/13/2015,17850,15879895,24699,26932433,128023,239,27
3/14/2015,4302,15884197,5592,26938025,128041,60,5
3/15/2015,9676,15893873,13635,26951660,128071,260,31
3/16/2015,18476,15912349,26091,26977751,128108,273,35
3/17/2015,16287,15928636,22462,27000213,128143,178,21
3/18/2015,15050,15943686,11465,27011678,128169,110,15
3/19/2015,16699,15960385,16176,27027854,128191,150,14
3/20/2015,8786,15969171,11465,27039319,128204,58,6
3/21/2015,10236,15979407,16176,27055495,128216,367,23
3/22/2015,10638,15990045,16098,27071593,128249,381,10
3/23/2015,14669,16004714,18957,27090550,128287,111,25
3/24/2015,17532,16022246,23581,27114131,128313,168,34
3/25/2015,15851,16038097,21456,27135587,128347,136,22
3/26/2015,16193,16054290,22876,27158463,128385,125,25
3/27/2015,15433,16069723,21520,27179983,128417,188,19
3/28/2015,1255,16070978,1562,27181545,128431,10,2
3/29/2015,10585,16081563,17373,27198918,128485,473,27
3/30/2015,19250,16100813,26828,27225746,128527,244,53
3/31/2015,15199,16116012,20532,27246278,128576,122,38
4/1/2015,21566,16137578,31708,27277986,128629,325,34
4/2/2015,26346,16163924,43134,27321120,128698,864,65
4/3/2015,15978,16179902,23643,27344763,128735,365,27
4/4/2015,15538,16195440,27764,27372527,128783,1029,46
4/5/2015,14962,16210402,29709,27402236,128846,1208,52
4/6/2015,25502,16235904,43529,27445765,128940,1065,73
4/7/2015,17640,16253544,24209,27469974,129003,270,33
4/8/2015,19223,16272767,26004,27495978,129047,276,30
4/9/2015,17723,16290490,23891,27519869,129081,163,20
4/10/2015,17648,16308138,25628,27545497,129124,289,37
4/11/2015,20451,16328589,39786,27585283,129193,1600,59
4/12/2015,21851,16350440,46764,27632047,129273,1951,87
4/13/2015,26980,16377420,43753,27675800,129377,603,73
4/14/2015,24452,16401872,36555,27712355,129451,334,53
4/15/2015,30184,16432056,49727,27762082,129541,733,84
4/16/2015,29273,16461329,45915,27807997,129639,617,57
4/17/2015,26164,16487493,42203,27850200,129717,671,81
4/18/2015,31024,16518517,71371,27921571,129802,3685,138
4/19/2015,23444,16541961,46416,27967987,129901,1851,103
4/20/2015,12080,16554041,16377,27984364,129974,96,23
4/21/2015,27057,16581098,43508,28027872,130039,608,88
4/22/2015,23893,16604991,35999,28063871,130109,374,51
4/23/2015,23886,16628877,34259,28098130,130168,311,61
4/24/2015,22605,16651482,32678,28130808,130211,421,37
4/25/2015,22963,16674445,46054,28176862,130293,2095,85
4/26/2015,23608,16698053,48664,28225526,130378,1999,128
4/27/2015,27657,16725710,43197,28268723,130486,609,99
4/28/2015,32481,16758191,54129,28322852,130575,893,98
4/29/2015,34427,16792618,59166,28382018,130671,1087,150
4/30/2015,31756,16824374,51077,28433095,130745,785,102
5/1/2015,30345,16854719,48736,28481831,130840,917,106
5/2/2015,28295,16883014,60188,28542019,130899,2799,138
5/3/2015,30446,16913460,69728,28611747,130992,3361,154
5/4/2015,35115,16948575,63531,28675278,131145,1397,191
5/5/2015,35990,16984565,60088,28735366,131284,987,145
5/6/2015,32788,17017353,50987,28786353,131366,712,90
5/7/2015,37762,17055115,64189,28850542,131496,1271,133
5/8/2015,37206,17092321,64255,28914797,131607,1596,170
5/9/2015,26813,17119134,51941,28966738,131677,2077,158
5/10/2015,28962,17148096,62364,29029102,131752,2444,189
5/11/2015,35068,17183164,57873,29086975,131884,1084,198
5/12/2015,38186,17221350,62939,29149914,131979,1103,179
5/13/2015,36162,17257512,57091,29207005,132074,891,119
5/14/2015,44429,17301941,80286,29287291,132158,4927,82
5/15/2015,37687,17339628,64660,29351951,132225,1665,181
5/16/2015,26142,17365770,50862,29402813,132293,2392,155
5/17/2015,34006,17399776,73458,29476271,132357,3499,189
5/18/2015,33527,17433303,53794,29530065,132470,1031,129
5/19/2015,36272,17469575,58026,29588091,132561,943,177
5/20/2015,36020,17505595,57290,29645381,132643,923,100
5/21/2015,33076,17538671,50277,29695658,132711,746,105
5/22/2015,33898,17572569,58351,29754009,132765,1356,150
5/23/2015,25985,17598554,56999,29811008,132798,2967,166
5/24/2015,27400,17625954,66211,29877219,132839,3689,156
5/25/2015,30636,17656590,69099,29946318,132914,3392,221
5/26/2015,38282,17694872,64504,30010822,133006,1202,188
5/27/2015,35952,17730824,57511,30068333,133080,879,124
5/28/2015,38291,17769115,61662,30129995,133153,1014,144
5/29/2015,40179,17809294,69343,30199338,133217,1648,134
5/30/2015,33503,17842797,69481,30268819,133265,3082,192
5/31/2015,21196,17863993,40580,30309399,133339,1606,105
6/1/2015,16079,17880072,20369,30329768,133401,162,41
6/2/2015,12706,17892778,15730,30345498,133453,75,35
6/3/2015,36345,17929123,58749,30404247,133535,1129,143
6/4/2015,34390,17963513,52792,30457039,133598,806,147
6/5/2015,32861,17996374,51079,30508118,133641,959,117
6/6/2015,27910,18024284,55613,30563731,133687,2457,144
6/7/2015,32881,18057165,71994,30635725,133752,3295,169
6/8/2015,35453,18092618,58140,30693865,133832,1045,168
6/9/2015,37322,18129940,59489,30753354,133896,889,140
6/10/2015,41386,18171326,69035,30822389,133964,1223,140
6/11/2015,39083,18210409,62993,30885382,134041,1060,137
6/12/2015,36801,18247210,60933,30946315,134109,1374,131
6/13/2015,31772,18278982,67103,31013418,134156,3045,168
6/14/2015,29829,18308811,62977,31076395,134220,2633,192
6/15/2015,26533,18335344,38705,31115100,134279,575,122
6/16/2015,33832,18369176,52864,31167964,134345,798,151
6/17/2015,40009,18409185,65208,31233172,134414,1145,160
6/18/2015,37326,18446511,56562,31289734,134468,792,144
6/19/2015,39350,18485861,66914,31356648,134516,1543,143
6/20/2015,24937,18510798,45872,31402520,134548,1747,125
6/21/2015,27486,18538284,55513,31458033,134602,2295,140
6/22/2015,39758,18578042,66659,31524692,134676,1282,202
6/23/2015,34182,18612224,52805,31577497,134743,824,147
6/24/2015,43484,18655708,73125,31650622,134818,1270,189
6/25/2015,41618,18697326,68362,31718984,134859,1166,135
6/26/2015,40599,18737925,68529,31787513,134908,1579,182
6/27/2015,16271,18754196,28233,31815746,134935,1143,65
6/28/2015,21588,18775784,42273,31858019,134975,1610,101
6/29/2015,39785,18815569,69309,31927328,135065,1452,196
6/30/2015,39839,18855408,65564,31992892,135136,1220,156
7/1/2015,39019,18894427,64472,32057364,135204,1251,142
7/2/2015,36962,18931389,62434,32119798,135247,1411,175
7/3/2015,27821,18959210,58884,32178682,135294,2818,173
7/4/2015,22347,18981557,53110,32231792,135326,3036,130
7/5/2015,26708,19008265,61185,32292977,135384,2829,180
7/6/2015,36174,19044439,62539,32355516,135470,1287,224
7/7/2015,37930,19082369,63163,32418679,135548,1071,200
7/8/2015,35900,19118269,57751,32476430,135594,823,139
7/9/2015,32734,19151003,52402,32528832,135646,900,122
7/10/2015,39687,19190690,71490,32600322,135704,1724,143
7/11/2015,32620,19223310,69705,32670027,135755,3190,178
7/12/2015,31853,19255163,68158,32738185,135809,2875,166
7/13/2015,39586,19294749,67998,32806250,135890,1273,238
7/14/2015,36671,19331420,58900,32865150,135966,754,145
7/15/2015,35855,19367275,57781,32922931,136023,873,111
7/16/2015,43302,19410577,76535,32999466,136092,1676,197
7/17/2015,40782,19451359,73884,33073350,136144,1815,161
7/18/2015,29619,19480978,61739,33135089,136188,2800,165
7/19/2015,29332,19510310,61512,33196601,136244,2709,169
7/20/2015,35960,19546270,59568,33256169,136315,1052,205
7/21/2015,39557,19585827,66191,33322360,136379,1234,170
7/22/2015,43602,19629429,75758,33398118,136460,1363,179
7/23/2015,43319,19672748,75512,33473630,136528,1404,166
7/24/2015,41201,19713949,72841,33546471,136594,1778,174
7/25/2015,32458,19746407,73133,33619604,136655,3535,148
7/26/2015,31325,19777732,66278,33685882,136721,2889,171
7/27/2015,39602,19817334,67841,33753723,136818,1232,230
7/28/2015,41321,19858655,69131,33822854,136901,1245,181
7/29/2015,40267,19898922,66299,33889153,136979,1085,153
7/30/2015,31878,19930800,50297,33939450,137044,785,108
7/31/2015,39360,19970160,69897,34009347,137109,1723,177
8/1/2015,36088,20006248,84287,34093634,137654,4286,234
8/2/2015,32482,20038730,72633,34166267,137738,3189,204
8/3/2015,39912,20078642,69232,34235499,137833,1400,230
8/4/2015,41672,20120314,71146,34306645,137913,1393,168
8/5/2015,42149,20162463,71111,34377756,138024,1357,160
8/6/2015,43455,20205918,74669,34452425,138142,1498,170
8/7/2015,41967,20247885,74844,34527269,138224,1862,154
8/8/2015,39866,20287751,95931,34623200,138366,5101,205
8/9/2015,33654,20321405,78144,34701344,138455,3425,177
8/10/2015,40718,20362123,74754,34776575,138644,1518,228
8/11/2015,25692,20387815,42534,34819109,138756,622,107
8/12/2015,44145,20431960,80366,34899475,138895,1458,196
8/13/2015,43174,20475134,78784,34978259,139042,1479,155
8/14/2015,40903,20516037,72319,35050578,139172,1778,195
8/15/2015,38777,20554814,92390,35142968,139377,4773,226
8/16/2015,30337,20585151,65629,35208597,139514,2720,179
8/17/2015,37446,20622597,64425,35273022,139712,1285,180
8/18/2015,39913,20662510,67805,35340827,139882,1163,158
8/19/2015,40721,20703231,69834,35410661,140076,1266,151
8/20/2015,39275,20742506,66772,35477433,140222,1275,140
8/21/2015,38033,20780539,66202,35543635,140392,1572,160
8/22/2015,34269,20814808,77058,35620693,140516,3632,190
8/23/2015,33059,20847867,71456,35692149,140725,2960,178
8/24/2015,38676,20886543,68193,35760342,140971,1253,182
8/25/2015,41052,20927595,71734,35832076,141218,1224,178
8/26/2015,42373,20969968,73578,35905654,141423,1247,159
8/27/2015,42801,21012769,74735,35980389,141674,1333,161
8/28/2015,41418,21054187,74240,36054629,141943,1774,160
8/29/2015,34053,21088240,74840,36129469,142169,3470,197
8/30/2015,32581,21120821,68990,36198459,142496,2902,189
8/31/2015,40043,21160864,67836,36266295,143057,1197,194
9/1/2015,43069,21203933,72939,36339234,143239,1199,185
9/2/2015,43004,21246937,72983,36412217,143424,1244,162
9/3/2015,42462,21289399,71265,36483482,143581,1251,193
9/4/2015,39572,21328971,70681,36554163,143722,1843,211
9/5/2015,33669,21362640,77956,36632119,143854,4271,228
9/6/2015,32875,21395515,82123,36714242,143962,4571,200
9/7/2015,33280,21428795,75257,36789499,144160,3501,155
9/8/2015,42344,21471139,71591,36861090,144402,1138,208
9/9/2015,43528,21514667,71173,36932263,144617,1041,175
9/10/2015,22023,21536690,31862,36964125,144769,416,77
9/11/2015,47206,21583896,86598,37050723,144950,1929,207
9/12/2015,33282,21617178,68420,37119143,145145,2620,192
9/13/2015,34308,21651486,72749,37191892,145406,2814,215
